,0,1,2,3,4
0,ks,elbasani,ballsh,vllaznia,flamurtari
1,adams,clark,http://www.co.mo.md.us,mitchell,smith
2,python,monty,cleese,reticulatus,skit
3,monster,monsters,creature,beast,gigantic
4,alex,ferguson,wilson,o'brien,nihz
5,bang,chiddy,krathum,chitty,kapi
6,villa,aston,everton,blackburn,chelsea
7,bone,bones,marrow,skull,fracture
8,columns,column,scagliola,archways,porticos
9,disorders,disorder,schizophrenia,neurological,behavioral
10,bugs,bug,daffy,bunny,chinch
11,collaboration,collaborative,collaborations,collaborated,collaborate
12,hamilton,evans,greene,http://www.co.mo.md.us,miller
13,detection,detecting,detect,detectors,detector
14,ftp,telnet,sftp,nntp,webdav
15,cookies,cookie,brownies,cakes,cupcakes
16,inner,outer,circle,sanctums,innermost
17,formation,forming,formed,formations,so-called
18,tutorial,tutorials,devonengy,naborsind,bb96
19,med,ahkh,vehd,thihr,tehz
20,engineers,technicians,engineer,engineering,working
21,entity,entities,creation,essentially,merged
22,cruises,cruise,sailings,excursions,excursion
23,gate,entrance,gates,lych,outside
24,holder,holders,_____________________________________________,genlelec,greene
25,proposals,proposal,proposed,proposing,propose
26,moderator,moderators,lehrer,russert,questioner
27,sw,nw,ne,wrldcom,genlelec
28,tutorials,tutorial,walkthroughs,webinars,flashcards
29,settlement,settlements,settled,settling,negotiated
30,portugal,spain,lisbon,portuguese,brazil
31,lawrence,allen,thompson,cohen,baker
32,roman,catholic,catholics,byzantine,rome
33,duties,duty,responsibilities,assuming,assumed
34,valuable,prized,invaluable,precious,important
35,tone,tones,contrast,contrasted,sounding
36,collectables,inpop,kranky,twin/tone,djm
37,ethics,ethical,morality,discipline,gingrich
38,forever,gone,surely,forget,theirs
39,dragon,demon,beast,serpent,ghost
40,busy,crowded,besides,talking,keeping
41,captain,skipper,captains,capt.,smith
42,fantastic,amazing,incredible,terrific,wonderful
43,imagine,maybe,else,something,imagined
44,brings,comes,puts,gives,takes
45,heating,cooling,gasoline,conditioning,fuel
46,leg,legs,wound,knee,shoulder
47,neck,chest,shoulder,wound,torso
48,hd,high-definition,40307,hdtv,209458
49,wing,wings,right,kuhdz,front
50,governments,government,countries,politicians,urged
51,purchasing,buying,purchase,purchases,selling
52,scripts,script,screenplays,writing,storyboards
53,abc,nbc,cbs,fox,cnn
54,stereo,cassette,two-channel,audio,headphones
55,appointed,appointment,elected,appoint,served
56,taste,tastes,flavor,delicious,mix
57,dealing,dealt,besides,concerned,involve
58,commit,committing,committed,commits,intend
59,tiny,small,smaller,smallest,large
60,operational,capability,capabilities,operations,operating
61,rail,railway,trains,freight,transit
62,airlines,airline,airways,flights,carrier
63,liberal,conservative,liberals,conservatives,progressive
64,jay,reatard,kroyts,strahk,noonz
65,trips,trip,excursions,travel,tours
66,gap,gaps,narrowing,widening,difference
67,sides,side,both,between,with
68,tube,tubes,steerer,eustachian,feeding
69,turns,turning,takes,turn,goes
70,corresponding,i.e.,corresponds,correspond,hence
71,descriptions,description,detailed,describing,detail
72,cache,caches,stash,el-bahri,l2
73,belt,belts,conveyor,conveyer,buckles
74,jacket,jackets,pants,trousers,shirt
75,determination,demonstrate,willingness,commitment,tenacity
76,animation,animated,animators,pixar,animations
77,oracle,peoplesoft,ellison,informix,microsoft
78,er,swahr,xfff,nasdaq100,xfxf
79,matthew,andrew,cooper,luke,dawson
80,lease,leases,leasing,leased,purchase
81,productions,theatrical,musicals,films,produced
82,aviation,faa,aerospace,airline,airplane
83,hobbies,pastimes,hobby,indulging,obsessions
84,proud,glad,happy,truly,pleased
85,excess,amounts,amount,accumulation,accumulated
86,disaster,catastrophe,disasters,aftermath,tragedy
87,console,consoles,playstation,xbox,dreamcast
88,commands,command,commanding,commanded,instructions
89,jr,rbi_mramirez,rbi_jugonzalez,http://www.co.mo.md.us,wrldcom
90,telecommunications,telecommunication,telecom,telecoms,communications
91,instructor,instructors,teacher,taught,teaches
92,giant,gigantic,behemoth,huge,big
93,achieved,achieve,achieving,success,attained
94,injuries,injury,suffered,injured,suffering
95,shipped,transported,exported,shipment,imported
96,seats,seat,majority,votes,mps
97,approaches,approach,furthermore,moreover,instance
98,biz,http://www.storaenso.com,showbiz,lingo,oly-2004-box
99,alarm,alarms,warning,warn,prompting
100,voltage,voltages,transformer,volts,input
101,anthony,gardner,prihn,moore,allen
102,nintendo,playstation,ds,gamecube,xbox
103,usual,typical,rather,instead,normally
104,loading,unloading,load,loads,unloaded
105,stamps,stamp,postage,commemorative,postcards
106,appeared,appearing,appear,appears,although
107,franklin,jefferson,delano,monroe,http://www.co.mo.md.us
108,angle,angles,45-degree,sideslip,edge
109,rob,http://www.co.mo.md.us,schneider,svahng,dibble
110,vinyl,cd,cassette,lps,reissue
111,highlights,highlight,highlighting,highlighted,presents
112,mining,mines,mine,coal,miner
113,designers,designer,fashion,designs,designing
114,melbourne,sydney,adelaide,brisbane,perth
115,ongoing,continuing,continues,focused,highlighted
116,worst,worse,terrible,decade,ever
117,imaging,mri,scans,ultrasound,scan
118,betting,bets,gambling,bettors,wagering
119,scientists,researchers,experts,biologists,colleagues
120,liberty,freedom,http://www.co.mo.md.us,likewise,65stk
121,wyoming,montana,idaho,dakota,nevada
122,blackjack,craps,poker,baccarat,roulette
123,argentina,uruguay,argentine,chile,brazil
124,era,decade,1950s,decades,eras
125,convert,converting,converts,converted,conversion
126,possibility,possible,considering,consider,possibly
127,analyst,lynch,economist,merrill,strategist
