,0,1,2,3,4
0,johnson,miller,smith,taylor,thompson
1,sc,neuenheim,karlsruher,pfullendorf,brnws
2,quickly,soon,eventually,finally,immediately
3,dollars,dlrs,billion,million,euros
4,websites,blogs,website,web,online
5,religion,religions,beliefs,religious,christianity
6,claim,claiming,claims,claimed,asserted
7,driving,driven,driver,drove,speeding
8,permission,permit,requested,granted,obtain
9,surgery,surgeries,underwent,undergoing,reconstructive
10,patch,patches,www.slarmy.org,bdb94,js94bb
11,heat,hot,humidity,scorching,searing
12,wild,animals,boars,animal,beasts
13,measures,measure,steps,necessary,implement
14,generation,generations,unlike,example,newest
15,kansas,missouri,oklahoma,minnesota,texas
16,miss,misses,missed,pageant,unfortunately
17,chemical,chemicals,biological,toxic,biochemical
18,doctor,physician,nurse,doctors,surgeon
19,task,tasks,daunting,tasked,dealing
20,reduce,reducing,increase,reduction,reduced
21,brought,came,bringing,turned,bring
22,himself,him,he,herself,once
23,nor,neither,indeed,likewise,reason
24,component,components,element,example,instance
25,enable,enabling,enables,enabled,allow
26,exercise,exercises,exercising,routine,preparation
27,bug,bugs,y2k,chinch,volkswagon
28,santa,cruz,clara,rosa,fe
29,mid,early,late,beginning,30-270
30,guarantee,guarantees,guaranteed,guaranteeing,insure
31,leader,leaders,leadership,led,opposition
32,diamond,diamonds,gem,necklace,emerald
33,israel,israeli,palestinians,israelis,palestinian
34,se,que,como,trata,si
35,processes,process,mechanisms,and/or,furthermore
36,soft,hard,contrast,instead,rather
37,servers,server,workstations,desktops,configured
38,alone,actually,same,rest,instance
39,meetings,meeting,discussions,conferences,informal
40,seconds,minutes,clocking,clocked,minute
41,jones,cooper,anderson,smith,evans
42,arizona,colorado,tucson,texas,oregon
43,keyword,natgeochannel,keywords,weyded@nytimes.com,hertzberg@nytimes.com
44,interests,concerned,regard,particular,both
45,flight,flights,plane,airplane,flying
46,congress,congressional,lawmakers,senate,legislation
47,fuel,gasoline,fuels,supply,diesel
48,username,password,passphrase,reshid,+.09
49,walk,walking,walks,walked,go
50,produced,produce,producing,manufactured,produces
51,italian,italy,italians,spanish,rome
52,paperback,hardcover,hardback,reprint,reprints
53,classifieds,kijiji,vnexpress,pseudo.com,quepasa.com
54,wait,waiting,waited,'ll,go
55,supported,opposed,support,supports,supporting
56,pocket,pockets,wallet,tucked,protectors
57,saint,st.,st,saints,patron
58,rose,fell,climbed,surged,jumped
