,0,1,2,3,4
0,minerals,mineral,metals,ores,precious
1,advise,advised,advising,advises,consult
2,humidity,temperature,temperatures,moisture,dampness
3,bottles,bottle,cans,cartons,beer
4,boxing,boxers,heavyweight,wrestling,boxer
5,wy,kroo,zehs,tehz,doo'ah
6,dm,tc,tbg,dermagraft,localweather
7,bangkok,thailand,kathmandu,penh,hanoi
8,renaissance,baroque,16th-century,century,20th-century
9,pathology,microbiology,pharmacology,audiology,biochemistry
10,sara,carrigan,paretsky,pezzini,svahng
11,bra,panties,underwire,underpants,bras
12,ordinance,ordinances,prohibiting,enacted,provision
13,hughes,evans,miller,johnson,rohch
14,photographers,cameramen,paparazzi,photographer,photojournalists
15,infections,infection,respiratory,pneumonia,infected
16,jeffrey,steven,l.,myoor,skwy
17,chess,kasparov,backgammon,grandmasters,grandmaster
18,operates,operated,operate,owns,maintains
19,brisbane,melbourne,perth,adelaide,queensland
20,configured,outfitted,ideally,configurations,optimized
21,survive,unfortunately,survived,indeed,able
22,oscar,oscars,nominations,nominated,nod
23,festivals,festival,concerts,venues,fairs
24,menus,menu,diners,eateries,toolbars
25,joan,lehf,armatrading,vennochi@globe.com,didion
26,possibilities,exploring,possibility,explore,sorts
27,duck,lame,darkwing,daffy,confit
28,reveal,revealing,revealed,reveals,suggest
29,canal,waterway,canals,towpath,suez
30,amino,acids,residues,acid,tryptophan
31,phi,kappa,theta,epsilon,fraternity
32,contributing,contributes,contribute,addition,besides
33,herbs,spices,vegetables,herbal,medicinal
34,clinics,clinic,hospitals,centers,pharmacies
35,mls,nhl,metrostars,abl,playoffs
36,cow,cows,mad,goat,pig
37,manitoba,saskatchewan,alberta,winnipeg,ontario
38,analytical,methodology,methodologies,analytic,theoretical
39,missions,mission,undertaken,reconnaissance,undertook
40,watson,palmer,clarke,thompson,evans
41,lying,lie,beside,sitting,lies
42,costumes,costume,props,outfits,colorful
43,strict,stringent,stricter,enforced,rules
44,dive,dives,diving,dived,scuba
45,saddam,hussein,iraqi,iraq,regime
46,circulation,readership,thermohaline,print,paper
47,drill,drills,drilled,http://www.nifc.gov/,simulating
48,offense,offenses,offensively,defensive,passing
49,bryan,http://www.co.mo.md.us,todd,mccabe,jmccabe@globe.com
50,cet,14:15,22:50,23:45,abhishekam
51,protest,protests,protesting,protested,demonstration
52,assumption,contrary,assuming,assumptions,belief
53,jerusalem,israel,israelis,aviv,palestinians
54,hobby,enthusiast,hobbies,pastime,hobbyist
55,tries,try,attempts,trying,takes
56,invention,invented,inventions,patented,inventor
57,nickname,nicknamed,moniker,name,nicknames
58,fiji,tonga,fijian,samoa,zealand
59,technician,mechanic,technicians,engineer,electrician
60,inline,in-line,6-cylinder,4-cylinder,8-cylinder
61,executives,managers,directors,employees,insiders
62,enquiries,inquiries,inquires,enquiry,informations
63,washing,cleaning,washes,laundry,refrigerators
64,audi,bmw,r8,volkswagen,benz
65,staffing,staffs,cutbacks,____________________________________________,necessitated
66,cognitive,behavioral,behavioural,perceptual,cognition
67,exploring,explore,explored,possibilities,researching
68,trick,tricks,hat,luck,easy
69,enquiry,inquiry,probing,inquiries,enquiries
70,closure,closures,shut,reopening,shutdown
71,raid,raids,raided,attack,airstrike
72,ppc,rw94,oly-2004-tennis,oly-2004-box,mo94
73,timber,lumber,logging,teak,wood
74,volt,volts,rechargeable,vectrix,ev-1
75,intense,fierce,evident,intensified,unusually
76,div,cif-ss,frontpage-1stld,polsce,regionals
77,playlist,b-list,0080ff,nasdaq100,drohs
78,registrar,bb94,bb96,srivalo,http://www.mediabynumbers.com
79,showers,thunderstorms,gusty,scattered,cooler
80,supporters,backers,activists,opponents,demonstrators
81,ruling,ruled,decision,supreme,court
82,steady,continuing,continued,despite,meantime
83,dirt,dusty,gravel,muddy,pavement
84,statutes,statute,laws,codified,provisions
85,withdrawal,pullout,withdraw,withdrawing,timetable
86,myers,rohsh,rohch,brohd,grij
87,drops,drop,dropping,rises,pushes
88,predicted,predicting,predicts,predict,expect
89,wider,broader,larger,wide,broad
90,saskatchewan,manitoba,alberta,saskatoon,ontario
91,jc,roda,kerkrade,kh,chasez
92,cancellation,cancel,postponement,cancelled,canceled
93,plugins,plug-ins,plugin,add-ons,addons
94,enrolled,enrolling,enroll,graduating,graduate
95,sensors,sensor,detect,devices,sensing
96,screw,screws,crank,screwed,dellcptr
97,ministers,meeting,leaders,ministerial,cabinet
98,publicly,openly,acknowledged,privately,repeatedly
99,hourly,wages,salaried,wage,"34,000"
100,blame,blaming,blamed,blames,insist
101,geneva,prohertrib,lausanne,auspices,____________________________________________
102,freebsd,netbsd,openbsd,bsd,linux
103,veterinary,veterinarian,veterinarians,medicine,medical
104,acer,asustek,pseudoplatanus,lenovo,palmatum
105,reseller,resellers,mobile-phone,purchaser,vendor
106,dist,rh3,distt,ramachandrapuram,2002-present
107,handed,handing,giving,gave,put
108,suffered,suffering,suffer,injuries,severe
109,intake,intakes,caloric,conversely,exhaust
110,informal,meetings,formal,discussions,discussion
111,relevance,usefulness,relevancy,importantly,uniqueness
112,incentive,incentives,reward,importantly,rewards
113,butterfly,butterflies,200-meter,200m,medley
114,tucson,scottsdale,phoenix,arizona,tempe
115,mechanics,mechanical,mechanic,continuum,http://www.nwguild.org
116,heavily,primarily,similarly,relied,mainly
117,swingers,kilbrittain,ooooooooooooooooooooooooooooooooooooooo,mo94,13nb
118,fifty,forty,thirty,sixty,twenty
119,headers,_____________________________________________,goal_boston,goal_ottawa,goal_florida
120,mistakes,mistake,errors,blunders,shortcomings
121,numerical,calculation,numeric,superiority,computation
122,ons,jabeur,js03,k587-1,js94bb
123,geek,nerd,geeky,geeks,nerds
124,uncle,nephew,grandfather,brother,cousin
125,defining,define,defined,defines,particular
126,counting,counted,voting,instead,picking
127,reflection,reflected,reflecting,reflections,reflects
128,sink,sinks,sinking,bottom,http://www.mediabynumbers.com
129,accompanied,accompanying,accompany,preceded,brought
130,assure,assuring,assured,ensure,guarantee
131,invitation,invited,invite,invitations,inviting
132,devoted,dedicated,focused,focusing,devoting
133,princeton,yale,harvard,cornell,graduate
134,jacob,isaac,lateiner,kainen,berab
135,sodium,potassium,milligrams,carbohydrates,cholesterol
136,randy,weaver,travis,mckay,hendricks
137,spirituality,mysticism,humanism,religiosity,emphasizes
138,hormone,hormones,testosterone,estrogen,progesterone
139,meanwhile,meantime,while,suggested,noting
140,proprietary,utilizing,utilising,utilizes,utilize
141,timothy,myoor,nichols,busfield,geithner
142,childrens,05-3rd,devonengy,oly-2004-cycling,namp
143,brick,masonry,walls,facade,bricks
144,grip,stranglehold,grips,loosen,51-year
145,naval,navy,military,ships,warships
146,medieval,mediaeval,ancient,century,16th-century
147,porcelain,ceramic,ceramics,earthenware,vases
148,avi,dichter,shlaim,nimni,primor
149,bridges,bridge,roads,highways,roadways
150,captured,capturing,capture,recaptured,taken
151,watt,watts,http://www.co.mo.md.us,boulton,http://www.mediabynumbers.com
152,decent,respectable,good,mediocre,terrific
153,casting,cast,casts,merely,http://www.nwguild.org
154,dayton,mccarty,cummings,ohio,accords
155,translated,translation,translations,translates,translate
156,shortly,after,afterwards,later,before
157,cameron,linesmen_lonnie,moore,svahng,watson
158,columnists,bloggers,opined,commentators,pundits
159,pins,lapel,pin,buttons,belaying
160,carlos,juan,martinez,perez,delgado
161,reno,janet,www.caib.us,65stk,http://www.nifc.gov/
162,donna,lauren,karan,caponi,linda
163,andreas,klöden,niniadis,prommegger,kopke
164,warrior,warriors,samurai,www.slarmy.org,brave
165,diploma,postgraduate,diplomas,post-graduate,certificate
166,cabin,cabins,airplane,log,10-by-12-foot
167,innocent,guilty,believing,others,unfortunately
168,scanning,scan,scanned,scanner,scans
169,ide,netbeans,justi,8051,plugin
170,consensus,compromise,regard,noting,expectation
171,polo,ponies,uscanga,www.slarmy.org,wc2003-sri
172,valium,xanax,librium,diazepam,tranquilizers
173,copying,copied,duplicating,downloading,photocopying
174,rpg,rpgs,propelled,role-playing,rocket-propelled
175,delivering,deliver,delivered,delivers,bringing
176,cordless,dect,telephones,headset,mobiles
177,patricia,racette,wettig,lehf,polacco
178,horn,horns,http://www.co.mo.md.us,k978-1,http://www.mediabynumbers.com
179,eddie,murphy,izzard,nihz,willis
180,uganda,kenya,zambia,tanzania,ugandan
181,fired,firing,fire,attacked,responded
182,journalism,journalistic,graduate,filmmaking,writing
183,pd,brmsg,maf,am94,brnws
184,prot,szegedi,rezaabad,mo96,musingku
185,trivia,quiz,quizzes,plethora,channelsurfer
186,adidas,reebok,nike,sportswear,puma
187,perth,melbourne,brisbane,adelaide,sydney
188,frog,frogs,toad,litoria,snake
189,grammar,vocabulary,headmaster,english,hutchesons
190,intention,intent,intentions,intend,aim
191,syria,damascus,lebanon,syrian,egypt
192,disagree,disagreed,argue,disagrees,agree
193,klein,calvin,schwartz,jacobs,piyanart
194,harvey,morris,weinstein,moore,grij
195,tires,tyres,tire,firestone,wheels
196,logs,log,logged,piles,felled
197,undertaken,undertaking,undertake,undertook,initiated
198,tgp,cw96,rw96,_____________,brett.clanton@chron.com
199,hazard,hazards,danger,pose,poses
200,retro,funky,'70s,throwback,stylish
201,leo,lionni,hahlt,gregory,ahrts
202,statewide,nationwide,state-wide,citywide,nationally
203,semiconductor,semiconductors,tsmc,electronics,microchip
204,gregory,mosher,ratoff,lyons,wilcox
205,episodes,episode,aired,airing,half-hour
206,boolean,monadic,two-element,equivalently,satisfiability
207,circular,rectangular,enclosing,dichroism,semi-circular
208,anger,frustration,outrage,resentment,rage
209,diy,do-it-yourself,ethos,ethic,d.i.y.
210,mainland,taiwan,taiwanese,hong,chinese
211,illustrations,drawings,illustrating,illustrated,artwork
212,suits,suit,pinstriped,tailored,outfits
213,chances,chance,hopes,certainly,wasted
214,interact,interacting,interaction,interactions,communicate
215,snap,snaps,snapping,snapped,30-270
216,happiness,contentment,joy,despair,longing
217,arg,oly-2004-fbl,x28,x8,eur2004-gre
218,substantially,significantly,considerably,dramatically,drastically
219,bizarre,strange,surreal,peculiar,comical
220,glenn,anderson,mcgrath,miller,gillespie
221,ur,chood,tehz,waysh,zheed
222,auckland,wellington,christchurch,brisbane,dunedin
223,olympics,olympic,paralympics,nagano,medals
224,fruits,fruit,vegetables,berries,edible
225,identifier,identifiers,overlay,eight-bit,locale
226,geo,bogza,microformat,ptv,mvs
227,ribbon,ribbons,grosgrain,patterned,colored
228,calculations,calculation,calculating,calculate,calculated
229,doe,jgi,bulletinyyy,js94bb,http://www.mediabynumbers.com
230,jpeg,gif,bmp,pcx,jpg
231,conducting,conducted,conduct,conducts,engaged
232,startup,start-up,startups,incubator,venture-backed
233,suzuki,seijun,ichiro,shunryu,miwa
234,trinidad,tobago,guyana,barbados,jamaica
235,ati,nvidia,radeon,bohld,gpu
236,kissing,hugging,cuddling,kissed,caressing
237,wal,mart,kmart,walmart,costco
238,handy,flashaafp.com,_____________________________________________,w.c.,srivalo
239,swap,swapping,swapped,swaps,agreeing
240,exempt,exempted,exemptions,exemption,permitted
241,crops,crop,harvest,cultivation,farmers
242,reduces,decreases,improves,lowers,eliminates
243,accomplished,accomplish,importantly,remembered,done
244,calculators,calculator,graphing,wristwatches,videophones
245,geometry,geometries,non-euclidean,geometric,analogous
246,impression,undoubtedly,evidently,certainly,obviously
247,abs,cbn,ebd,eonia,anti-lock
248,slovakia,latvia,slovak,hungary,estonia
249,flip,flops,flopping,flopped,flop
250,guild,http://www.nwguild.org,wga,sag,guilds
251,correlation,correlations,conversely,relation,imply
252,gorgeous,lovely,beautiful,dreamy,enchanting
253,capitol,rotunda,lobby,congressional,house
254,sim,cimo,chheang,farar,zheed
255,dishes,dish,cuisine,cooked,delicacies
256,rna,mrna,molecule,double-stranded,nucleotides
257,barbados,jamaica,guyana,tobago,antigua
258,chrysler,automaker,daimlerchrysler,gm,motors
259,nervous,anxious,worried,scared,fearful
260,refuse,refusing,accept,refused,insist
261,extends,extending,extend,extended,stretches
262,fragrance,perfume,fragrances,scents,perfumes
263,mcdonald,burger,mcdonalds,http://www.co.mo.md.us,barnes
264,replica,replicas,miniature,mockup,likeness
265,plumbing,wiring,fittings,pipes,hvac
266,brussels,prohertrib,paris,belgium,bonn
267,tribe,tribes,tribal,natives,descendants
268,neighbors,neighbor,neighbours,neighbour,neighboring
269,trades,transactions,deals,trading,brokers
270,superb,brilliant,excellent,terrific,masterful
271,buzz,hype,buzzing,excitement,feiten
272,transparent,opaque,manner,referentially,reflective
273,nuke,nkorea,nukes,frontpage-1stld,texasinst
274,rid,eliminate,supposed,unfortunately,anyway
275,trinity,cambridge,rector,eton,oxford
276,charleston,savannah,s.c.,greenville,riverdogs
277,handled,handle,handling,handles,dealt
278,legends,legend,myths,lore,greats
279,boom,booming,1990s,bubble,booms
280,calm,quiet,anxious,assure,seemed
281,champions,finals,defending,reigning,championship
282,floors,floor,rooms,basement,storey
283,selections,selection,selected,select,aforementioned
284,projectors,projector,screens,fulldome,film-based
285,inappropriate,improper,unprofessional,unacceptable,deemed
286,exhaust,exhausts,vent,combustion,gasses
287,comparing,compare,comparison,compares,describing
288,shanghai,guangzhou,shenzhen,tianjin,chongqing
289,speaks,speak,spoken,spoke,understands
290,burton,thompson,http://www.co.mo.md.us,miller,bradstock
291,vocational,education,apprenticeships,curricula,graduates
292,davidson,harley,http://www.co.mo.md.us,gardner,grij
293,copied,reproduced,copying,imitated,copy
294,scotia,nova,brunswick,newfoundland,halifax
295,farming,agricultural,ranching,farm,farmers
296,gibson,rogers,http://www.co.mo.md.us,glover,mel
297,pharmacies,drugstores,pharmacists,clinics,prescriptions
298,fork,forks,creek,levisa,skykomish
299,troy,matteson,garity,hambrick,aikman
300,ln,nte,ij,spw,cn
301,roller,coaster,coasters,blading,rollers
302,introducing,introduce,introduction,introduced,introduces
303,batch,batches,tissottiming.com,js94bb,bulletinyyy
304,organize,organise,organized,organizing,participate
305,appreciated,appreciate,appreciation,importantly,admired
306,alter,altering,altered,modify,alters
