,0,1,2,3,4
0,generator,generators,transformer,generating,turbine
1,albert,mangelsdorff,prohertrib,hahlt,baker
2,examine,examining,evaluate,examined,analyze
3,jimmy,carter,conzelman,johnny,morrison
4,graham,bennett,thompson,baker,cunningham
5,suspension,suspensions,suspended,suspend,suspending
6,bristol,exeter,birmingham,coventry,norwich
7,margaret,elizabeth,mrs,helen,née
8,compaq,packard,hewlett,ibm,motorola
9,sad,sorry,tragic,pathetic,awful
10,correction,corrections,corrected,correct,anticipating
11,wolf,bear,mankowitz,http://www.co.mo.md.us,hunter
12,slowly,gradually,rapidly,quickly,steadily
13,authentication,two-factor,encryption,validation,ntlm
14,communicate,communicating,communicated,understand,enables
15,rugby,football,cricket,wales,sevens
16,supplement,supplements,supplemented,augment,supplementing
17,showtimes,13nb,mo94,"3,112",http://www.customs.gov.cn
18,cal,fullerton,csun,usc,clutterbuck
19,portions,portion,sections,additionally,parts
20,infant,newborn,infants,babies,toddler
21,promoting,promote,promotes,emphasizing,fostering
22,sectors,sector,industries,businesses,industrial
23,samuel,henry,walter,d.,noonz
24,fluid,fluids,flow,viscous,liquid
25,grounds,reasons,arguing,premises,exception
26,fits,fit,puts,sort,thinks
27,kick,kicks,kicked,ball,kicking
28,regards,considers,regard,likewise,noting
29,meal,meals,eat,ate,eaten
30,ta,mok,pao,euzkadi,muen
31,hurt,hurting,worried,seriously,wo
32,machinery,equipment,automobiles,industrial,manufacturing
33,bandwidth,bandwidths,latency,frequencies,connectivity
34,unlike,instance,though,whereas,likewise
35,equation,equations,derivation,approximation,differential
36,baskets,basket,buckets,wastepaper,throws
37,probability,probabilities,likelihood,estimation,implies
38,pot,pots,boiling,crock,stew
39,dimension,dimensions,element,context,hence
40,wright,robinson,moore,johnson,gibson
41,img,publicists,http://www.nwguild.org,rw94,wc2003-wis
42,barry,larkin,sanders,ellis,allen
43,proven,proved,prove,proves,proving
44,schedules,schedule,scheduling,juggle,rearranged
45,admissions,applicants,admission,enrollment,need-blind
46,cached,+.14,mo94,versioned,oly-2004-box
47,warren,perry,christopher,lyons,simmons
48,slip,slips,slipping,catch,slipped
49,studied,studying,taught,studies,graduated
50,reviewer,commented,opined,reviewers,remarked
51,involves,involve,entails,involving,instance
52,quarterly,monthly,earnings,forecasts,yearly
53,rpm,redline,torque,r.p.m.,"5,200"
54,profits,profit,earnings,revenues,revenue
55,devil,satan,hell,65stk,angels
56,grass,lawn,pasture,grasses,turf
57,comply,complied,abide,complying,compliance
58,marie,louise,oxeant,antoinette,anne
59,florist,greengrocer,hairdresser,oly-2004-gymnastics,landscaper
60,illustrated,illustrating,book,illustrate,illustrations
61,cherry,blossom,berry,peach,orchard
62,continental,o-200,atlantic,prohertrib,genlelec
63,alternate,wherein,aforementioned,instead,chosen
64,deutsch,crauscher,ihj,donny,hahlt
65,achievement,achievements,accomplishment,accomplishments,excellence
66,limitations,limitation,constraints,limits,inherent
67,kenya,uganda,kenyan,tanzania,zambia
68,webcam,cell-phone,stickam,livestream,webcams
69,cuts,cut,cutting,cutbacks,reductions
70,funeral,funerals,mourners,procession,burial
71,nutten,darwinia,crotalaria,brookens,cochino
72,earrings,necklaces,necklace,pendants,bracelets
73,enjoyed,enjoying,enjoy,enjoys,thanks
74,automated,computerized,utilizing,machines,computerised
75,chapters,chapter,thirteen,wherein,aforementioned
76,pee,zhohn,wee,tehz,nuhv
77,charlie,parker,baker,dawson,buck
78,quebec,manitoba,montreal,ontario,trois-rivières
79,passenger,passengers,bus,freight,cargo
80,convenient,easy,easier,suitable,inexpensive
81,dennis,bruhth,murphy,ross,mitchell
82,mars,lander,martian,earth,spacecraft
83,francis,jeffers,henry,charles,rohch
84,tvs,televisions,lcd,vcrs,hdtvs
85,sized,small,smaller,large,larger
86,manga,anime,serialized,shōjo,yaoi
87,noticed,noticing,seeing,realized,saw
88,socket,sockets,am2,plugs,am3
89,silent,silence,remembered,curiously,http://www.oklahomacitynationalmemorial.org
90,literary,literature,poetry,scholarly,authors
91,egg,eggs,yolk,yolks,cooked
92,mhz,ghz,megahertz,khz,frequencies
93,signals,signal,signaling,signalling,indicating
94,caps,cap,capped,kahp,wc2003-wis
95,orientation,regardless,orientations,furthermore,viewpoint
96,pill,pills,viagra,ru-486,swallow
97,theft,thefts,robbery,forgery,burglary
98,childhood,experiences,adolescence,boyhood,memories
99,swing,swinging,swung,swings,bounce
100,symbols,symbol,emblems,symbolism,icons
101,lat,wp,ntagweek.htm,haejung,obit
102,meta,ilir,bohld,js03,zhadh
103,humans,animals,beings,creatures,evolved
104,analog,analogue,digital,uhf,transmitters
105,facial,disfigurement,lacerations,expressions,tics
106,choosing,choose,selecting,chosen,chose
107,talent,talents,skill,talented,showcase
108,dated,date,dating,circa,dates
109,flexibility,willingness,leverage,adaptability,importantly
110,seeker,seekers,+.56,+.31,oly-2004-weightlifting
111,wisdom,belief,mind,indeed,essence
112,shoot,shot,kill,shoots,shooting
113,boundary,boundaries,bounded,qualla,stretches
114,mint,juleps,julep,kremnica,mints
115,packard,hewlett,compaq,ibm,hewlett-packard
116,offset,offsetting,offsets,boosted,coupled
117,payday,paydays,payoff,24aou94,k978-1
118,philip,morris,rohch,rohsh,phillip
119,elite,elites,ranks,kuhdz,handful
120,gi,shuhn,g.i.,oly-2004-gymnastics,oly-2004-fhockey
121,spin,spinning,spins,layback,spun
122,holders,holder,secured,guaranteed,_____________________________________________
123,believes,thinks,believe,insists,convinced
124,swedish,sweden,danish,norwegian,finnish
125,poems,poem,poetry,essays,prose
126,deadline,deadlines,agreeing,date,expired
127,jurisdiction,authority,jurisdictions,pursuant,asserting
128,robot,robots,robotic,humanoid,remote-controlled
129,displaying,displayed,displays,display,exhibiting
130,witness,witnesses,testimony,testified,eyewitness
131,collins,scott.collins@latimes.com,mitchell,anderson,miller
132,equipped,outfitted,fitted,specially,configured
133,stages,stage,phases,phase,culminating
134,encouraged,encouraging,encourage,likewise,nevertheless
135,sur,camarines,essai,rohvsk,ilocos
136,winds,wind,gusts,storm,storms
137,powder,powders,packed,talcum,powdered
138,broadway,musicals,theater,productions,musical
139,acquired,purchased,acquiring,acquire,bought
140,assess,evaluate,assessing,examine,determine
141,wash,washing,washes,bathe,washed
142,cartridges,cartridge,centerfire,revolvers,rimfire
143,stones,stone,rocks,bricks,throwing
144,entrance,entrances,gate,courtyard,doorway
145,gnome,xfce,lxde,keyring,lg03
146,roots,rooted,root,origins,beginnings
147,declaration,declaring,declarations,document,communique
148,losing,lost,lose,winning,having
149,attempts,attempt,attempted,attempting,failed
150,gadgets,gizmos,gadget,gadgetry,cellphones
151,noble,likewise,srivalo,piyanart,http://www.mediabynumbers.com
152,glasgow,edinburgh,birmingham,aberdeen,melbourne
153,automation,computerization,workflow,automate,utilizes
154,impacts,impact,impacted,impacting,mitigate
155,rev,wrldcom,fr,genlelec,nangk
156,gospel,hymns,choir,bible,singers
157,advantages,disadvantages,disadvantage,advantage,drawbacks
158,shore,shores,shoreline,along,vicinity
159,loves,likes,hates,thinks,knows
160,induced,induce,inducing,induces,resulting
161,ll,xfxf,xffx,ffxf,fffxf
162,knight,knights,http://www.nwguild.org,http://www.co.mo.md.us,nokiacorp
163,preparing,prepare,prepared,begun,ready
164,loose,apart,sort,putting,breaking
165,aims,aim,aiming,seeks,intended
166,recipient,recipients,nytfileitnotes.ap.org,awarded,receive
167,linking,link,connecting,links,connection
168,extensions,extension,extended,aforementioned,incorporating
169,appeals,appeal,upheld,court,appealed
170,cl,nasdaq100,financl,spoolname,lg03
171,earned,earning,earn,received,honors
172,illness,illnesses,suffering,ailment,disease
173,islamic,muslim,fundamentalist,islamist,fundamentalists
174,athletics,championships,gymnastics,athletic,federations
175,southeast,northeast,southwest,northwest,east
176,ieee,acm,802.15.4,802.16,1394
177,ho,gwahng,chayng,minh,chi
178,alternatives,alternative,preferable,options,feasible
179,pending,awaiting,request,requested,proceed
180,parker,cooper,moore,baker,walker
181,determining,determine,determines,deciding,assessing
182,lebanon,lebanese,syria,beirut,hezbollah
183,corp,corporation,corp.,inc,subsidiary
184,personalized,customized,personalised,personalize,timewrn
185,kennedy,f.,wilson,jfk,o'connor
186,gt,imsa,gts,tr,mustang
187,sh,md,sr,siemens-halske,hnkj
188,conditioning,hvac,refrigeration,conditioner,ventilation
189,teenage,teen,teenaged,teenagers,teenager
190,soap,soaps,long-running,sitcom,eastenders
191,ae,am94,rw94,localweather,34:48
192,triple,double,quadruple,jump,combination
193,cooper,moore,parker,evans,smith
194,nyc,genlelec,frontpage-1stld,wrldcom,triples_jeter
195,vincent,schiavelli,prohertrib,http://www.co.mo.md.us,svahng
196,jam,jams,30-270,_____________________________________________,http://www.co.mo.md.us
197,secured,securing,secure,ensured,assured
198,unusual,uncommon,instance,similar,peculiar
199,answered,answer,replied,answering,responded
200,partnerships,partnership,public-private,alliances,relationships
201,destruction,destroying,destroy,destroyed,devastation
202,slots,slot,nubus,allotted,pci-x
203,increasingly,particularly,become,becoming,especially
204,migration,migrations,emigration,migrating,facilitated
205,disorder,disorders,schizophrenia,obsessive-compulsive,depressive
206,routine,routines,usual,exercise,check
207,toolbar,toolbars,homepage,browser,bookmarks
208,basically,essentially,anyway,unfortunately,simply
209,rocks,boulders,stones,rock,thrown
210,conventional,unlike,utilizing,rather,types
211,titans,raiders,panthers,giants,ravens
212,applicants,applicant,prospective,graduates,apply
213,wearing,wore,wear,dressed,worn
214,axis,hypothalamic-pituitary-adrenal,hpg,anterior-posterior,anteroposterior
215,sought,seeking,seek,tried,hoped
216,genes,gene,mutations,genetic,mutation
217,mounted,mounts,mounting,attached,positioned
218,habitat,habitats,forests,wetlands,wetland
219,firewall,firewalls,zonealarm,anti-virus,antispam
220,median,versus,income,"56,250","37,083"
221,guns,gun,pistols,ammunition,cannons
222,scanner,scanners,scanning,scan,scans
223,herein,contained,attribution,materials,therein
224,occupational,workplace,niosh,therapists,rospa
225,animated,cartoon,animation,live-action,sequel
226,judicial,judges,judiciary,legal,constitutional
227,rio,janeiro,grande,turbio,brazil
228,hs,produkt,250h,293,orka
229,adjustment,adjustments,adjusting,adjust,changes
230,hero,heroes,legend,heroic,remembered
231,integer,integers,non-zero,formula_1,formula_2
232,treatments,therapies,treatment,therapy,chemotherapy
233,bachelor,bachelors,graduate,doctorate,degree
234,attitude,stance,regard,attitudes,approach
235,camcorders,camcorder,vcrs,hdv,minidv
236,engaged,engaging,involved,engage,focused
237,falling,fallen,dropping,rising,fall
238,basics,essentials,emphasizes,emphasizing,importantly
239,montreal,toronto,ottawa,calgary,vancouver
240,carpet,carpets,rug,biotechtrst,www.slarmy.org
241,rv,rvs,campground,campgrounds,campsite
242,struct,codice_37,metatheory,codice_42,mangxamba
243,lenses,lens,telephoto,eyeglasses,wide-angle
244,binary,ternary,analogous,i.e.,e.g.
245,genetics,biology,biochemistry,neurobiology,neuroscience
246,attended,attending,attend,invited,met
247,difficulty,difficulties,trouble,adjusting,besides
248,punk,hardcore,grunge,rockers,indie
249,collective,whereby,sort,collectively,mind
250,coalition,alliance,opposition,parties,allies
251,pi,artthielseattle,lauravecseyseattle,theta,sigma
252,dropped,dropping,fell,slipped,drop
253,enrollment,enrollments,enrolment,enrolled,admissions
254,duke,duchess,dukes,cousin,prince
255,walter,frank,herbert,rohch,thompson
256,ai,anymore,ok,'cause,sugiyama
257,pace,slow,fast,slower,slowed
