,0,1,2,3,4
0,filme,personaje,completa,divertido,creo
1,craps,blackjack,roulette,foosball,baccarat
2,fuji,kodak,kato,fujifilm,.000088
3,frost,js94bb,k978-1,k977-1,http://www.mediabynumbers.com
4,leon,gahsh,powe,roppolo,klenicki
5,institutes,universities,colleges,academies,institute
6,mold,mould,molds,slime,js94bb
7,dame,notre,purdue,usc,rutgers
8,fo,http://www.comair.com,http://www.nwguild.org,guang,oly-2004-cycling
9,sally,oly-2004-fhockey,chahs,maggie,http://www.co.mo.md.us
10,yacht,yachts,sailboat,sailing,sail
11,tracy,chapman,tjan@globe.com,newman,http://www.co.mo.md.us
12,prefers,preferring,prefer,likes,tends
13,drilling,offshore,rigs,exploration,deepwater
14,brochures,brochure,pamphlets,booklets,postcards
15,herb,mat-forming,herbs,trimpe,pennock
16,tmp,yrc,rw94,befrienders,euronet
17,alot,busywork,oly-2004-gymnastics,28aou94,mo96
18,ate,eaten,eat,eating,drank
19,breach,breaches,breached,breaching,violation
20,whale,whales,shark,humpback,dolphin
21,traveller,traveler,battuta,travellers,bb96
22,appropriations,subcommittee,appropriation,subcommittees,senate
23,suspected,suspects,alleged,suspect,arrested
24,tomatoes,tomato,cucumbers,peppers,vegetables
25,benchmark,index,yields,nikkei,yield
26,beginners,beginner,novices,basics,uninitiated
27,instructors,trainees,instructor,trainers,mentors
28,highlighted,highlighting,highlight,highlights,underscored
29,bedford,stuyvesant,dorchester,milford,http://www.co.mo.md.us
30,stationery,letterhead,letterheads,postcards,embossed
31,idle,idling,65stk,k978-1,http://www.mediabynumbers.com
32,mustang,p-51d,p-51b,p-51,thunderbird
33,unauthorized,unauthorised,copying,prohibited,illegal
34,clusters,cluster,clustered,globular,scattered
35,antibody,antibodies,monoclonal,igg,antigen
36,competent,incompetent,supremely,knowledgeable,reasonably
37,momentum,impetus,push,hoping,propel
38,fin,fins,caudal,foom,tail
39,wiring,plumbing,wires,faulty,harnesses
40,io,ganymede,bohld,js03,js04
41,pastor,rev.,reverend,baptist,pastors
42,mud,muddy,muck,sand,washed
43,calvin,klein,coolidge,trillin,drohs
44,uni,uniph,#ukqec,arge,http://www.comair.com
45,shark,whale,sharks,turtle,crocodile
46,contributor,contributors,contributing,contribution,participant
47,demonstrates,illustrates,demonstrate,underscores,importantly
48,phases,phase,stages,wherein,culminating
49,grateful,thankful,glad,pleased,thrilled
50,emerald,sapphire,necklace,gem,topaz
51,gradually,slowly,rapidly,progressively,steadily
52,laughing,laughed,joking,laugh,crying
53,grows,grow,grown,growing,tends
54,cliff,cliffs,ledge,www.slarmy.org,biotechtrst
55,desirable,importantly,problematic,necessarily,conversely
56,tract,tracts,spinothalamic,gastro-intestinal,corticospinal
57,ul,haq,byohrn,inzamam,inzaman
58,ballet,dancer,balanchine,dancers,troupe
59,ol,eslam,kheyr,faqr,pejeta
60,journalist,reporter,photographer,writer,correspondent
61,abraham,malpan,zacuto,bloemaert,moses
62,js,kh,gph02,gph03,gph04
63,bumper,stickers,sticker,harvests,stumpers
64,afterwards,afterward,thereafter,later,shortly
65,webpage,homepage,web-site,webpages,web-page
66,religions,faiths,religion,sects,christianity
67,garlic,onion,onions,shallots,cloves
