,0,1,2,3,4
0,structures,structure,construct,constructed,furthermore
1,generic,generics,product,medicines,instance
2,encyclopedia,encyclopaedia,britannica,dictionary,handbook
3,usage,refers,e.g.,furthermore,hence
4,cap,caps,kahp,putting,put
5,ink,inks,pencil,paper,gouache
6,charts,chart,charting,billboard,charted
7,continuing,continued,continues,ongoing,continue
8,mixed,mix,mostly,generally,followed
9,census,population,inhabitants,statistics,households
10,interracial,inter-racial,marriages,inter-caste,lesbians
11,peak,peaks,height,approaching,climb
12,tn,knoxville,hnkj,fahnt,lg03
13,competitive,competition,compete,competitors,competing
14,exist,existed,exists,furthermore,moreover
15,wheel,wheels,steering,brakes,rear
16,transit,rail,transportation,routes,metro
17,suppliers,supplier,manufacturers,distributors,subcontractors
18,salt,add,veruca,pepper,sprinkling
19,compact,fluorescents,discs,cassettes,similarly
20,poetry,poems,literature,literary,prose
21,lights,flashing,lighting,lighted,lamps
22,tracking,tracked,positioning,aided,identifying
23,angel,miguel,jimenez,lopez,cabrera
24,bell,bells,__________________________________,watson,http://www.co.mo.md.us
25,keeping,keep,kept,putting,keeps
26,preparation,preparations,prepare,preparing,prepared
27,attempt,attempts,attempting,attempted,failed
28,receiving,received,receive,giving,given
29,matches,match,tournament,played,play
30,accordance,stipulated,pursuant,accordingly,adhered
31,width,length,thickness,35px,height
32,noise,loud,noises,sounds,vibration
33,engines,engine,diesel,powered,diesels
34,forget,remember,anymore,maybe,surely
35,array,assortment,variety,multitude,myriad
36,discussed,discuss,discussing,discussions,talked
37,accurate,precise,reliable,accuracy,accurately
38,stephen,murphy,evans,miller,cooper
39,elizabeth,margaret,anne,mary,queen
40,climate,warming,change,environment,global
41,reservations,reservation,misgivings,likewise,suggestions
42,pin,pins,lapel,1066839,dashst
43,playstation,xbox,gamecube,nintendo,consoles
44,alcohol,drinking,drink,alcoholic,liquor
45,greek,greece,turkish,greeks,athens
46,instruction,instructions,learning,teaching,curriculum
47,managing,management,manage,executive,director
48,annotation,annotations,+.08,ensembl,annotating
49,sister,mother,daughter,niece,daughters
50,raw,processed,imported,zhohn,unprocessed
51,differences,disagreements,disagreement,resolve,difference
52,walking,walk,walks,walked,seeing
53,explain,explaining,why,understand,explained
54,smaller,larger,bigger,small,large
55,newest,touted,latest,k587-1,http://www.mediabynumbers.com
56,establish,establishing,established,maintain,aim
