,0,1,2,3,4
0,differ,differed,differs,differing,vary
1,macintosh,desktop,pc,macs,imac
2,movements,movement,moves,particular,furthermore
3,ranging,ranged,variety,varied,including
4,monica,lewinsky,zetterlund,linda,intern
5,repairs,repair,maintenance,repaired,refitting
6,breath,gasping,breathe,breathing,pausing
7,amenities,accommodations,conveniences,accommodation,attractions
8,virtually,practically,essentially,almost,except
9,cole,porter,fowler,keyshia,chapman
10,mart,wal,kmart,walmart,costco
11,candle,candles,lit,lighted,lamp
12,hanging,hangs,hung,dangling,framed
13,colored,coloured,patterned,multicolored,colors
14,authorization,authorisation,authorizing,permit,authorizations
15,tale,tales,fairy,fable,story
16,verified,verify,independently,ascertained,validated
17,lynn,cheryl,http://www.co.mo.md.us,minmay,marykane2000
18,formerly,known,renamed,previously,originally
19,projector,projectors,filmstrip,hologram,screens
20,bp,amoco,spill,exxon,mobil
21,situated,located,sited,adjacent,lies
22,comparative,studies,sociology,linguistics,geography
23,std,stds,chis,vd,lg03
24,seeks,seeking,seek,wants,aims
25,herbal,medicinal,herbs,remedies,essences
26,loving,caring,loved,happy,loves
27,strictly,adhered,adhering,forbidden,permitted
28,routing,routed,link-state,_____________________________________________,backpressure
29,docs,lg03,localweather,js04,mo94
30,stanley,morgan,lynch,svahng,http://www.co.mo.md.us
31,psychological,emotional,mental,trauma,physical
32,surprised,disappointed,pleased,shocked,thrilled
33,retailer,retailers,mart,stores,retailing
34,vitamins,supplements,vitamin,antioxidants,b12
35,elegant,stylish,graceful,lovely,elegantly
36,gains,gain,boosted,profits,offset
37,renewal,renew,renewing,rebirth,renewed
38,vid,gweye,mangxamba,kd94,js03
39,genealogy,genealogical,genealogies,researches,origins
40,opposed,oppose,supported,arguing,favor
41,deemed,considered,deem,judged,otherwise
42,scoring,scored,score,scorer,goal
43,expenditure,expenditures,outlays,outlay,spending
44,brooklyn,bronx,manhattan,queens,staten
45,liverpool,manchester,anfield,leeds,newcastle
46,sisters,sister,siblings,daughters,mary
47,critics,detractors,criticism,criticized,argue
48,connectivity,functionality,accessibility,linkages,enables
49,spots,spot,places,djdam,picked
50,oo,oo.oo,tehf,myehs,mihz
51,algorithms,algorithm,computation,probabilistic,optimization
52,hacker,hackers,_____________________________________________,flashaafp.com,srivalo
53,madrid,barcelona,valencia,spain,bilbao
54,similarly,likewise,indeed,instance,moreover
55,margin,margins,percentage,narrow,advantage
56,coin,coins,minted,commemorative,minting
57,solely,exclusively,principally,chiefly,entirely
58,fake,phony,bogus,counterfeit,fakes
59,salon,salons,hairdressing,parisian,hairdresser
60,collaborative,collaboration,innovative,collaborations,interdisciplinary
61,norman,watson,osborn,andrews,payne
62,fda,recommended,recommendation,approval,ftc
63,excluding,excludes,exclude,excluded,exception
64,turbo,hydra-matic,turbocharged,xr6,2.0-litre
65,headed,heading,turned,came,heads
66,voters,vote,voting,votes,polls
67,cure,cures,treat,treatments,treating
68,madonna,britney,drohs,diva,gaga
69,commander,command,commanded,lieutenant,colonel
70,arch,foe,nemesis,arches,genlelec
71,ni,cn,tni,ern,bnk
72,murphy,moore,kelly,o'brien,doyle
73,thinks,knows,believes,likes,nobody
74,thats,anyhow,thankfully,hmmm,organgn
75,suggestion,suggestions,suggested,idea,merely
76,hdtv,sdtv,hdtvs,high-definition,tvs
77,soldier,policeman,soldiers,wounded,prisoner
78,phillips,evans,roberts,smith,harris
79,asin,gph02,http://www.freddiemac.com,oly-2004-fhockey,http://www.volkswagen.com
80,aimed,aim,aiming,aims,focused
81,justin,timberlake,bieber,meldal-johnsen,ruggiano
82,bomb,bombs,blast,exploded,detonated
83,harm,harming,harmed,endanger,harms
84,interval,intervals,substituted,blanking,conversely
85,mirrors,mirror,mirrored,reflecting,rear-view
86,spotlight,limelight,shine,attention,shone
87,tricks,trick,trickery,stunts,pretending
88,reset,resetting,resets,lg03,.0206
89,brush,brushes,scrub,brushing,aside
90,investigate,investigating,investigated,examine,investigation
91,thy,thee,thou,shuhn,shalt
92,panels,panel,frames,mirrors,predella
93,repeated,repeatedly,spite,assertion,frequently
94,assault,assaults,attack,attempted,charged
95,connecting,connects,connect,linking,connected
96,spare,spares,meant,besides,needed
97,logistics,logistic,logistical,materiel,warehousing
98,deer,elk,boar,moose,rabbits
99,kodak,eastman,polaroid,xerox,fujifilm
100,tongue,mouth,cheek,lips,tongues
101,bowling,bowlers,bowler,bowled,candlepin
102,tri,wc2003-sri,wc2003-wis,#ukqec,wc2003-pak
103,danish,denmark,swedish,norwegian,copenhagen
104,pal,grotnes,http://www.nwguild.org,piyanart,srivalo
105,monkey,monkeys,ape,squirrel,cat
106,proportion,moreover,furthermore,fraction,consequently
