,0,1,2,3,4
0,the,part,which,same,.
1,of,the,part,same,one
2,and,both,well,",",.
3,to,would,take,help,able
4,a,another,one,this,same
5,in,where,.,same,","
6,for,while,.,as,instead
7,is,this,now,it,comes
8,on,while,.,same,instead
9,that,but,what,fact,which
10,by,being,been,.,already
11,this,it,same,.,that
12,with,both,and,while,well
13,i,'d,really,you,'ve
14,you,'ll,?,n't,know
15,it,this,but,that,so
16,not,but,because,should,did
17,or,either,rather,instead,.
18,be,being,not,been,so
19,are,these,those,many,have
20,from,came,back,brought,same
21,at,where,.,time,while
22,as,also,well,.,both
23,your,my,you,our,'ll
24,all,those,only,well,both
25,have,they,been,already,those
26,new,york,same,addition,.
27,more,than,less,least,even
28,an,another,this,as,that
29,was,had,being,later,been
30,we,going,think,know,n't
31,will,would,should,could,expected
32,home,where,went,came,","
33,can,could,if,must,cannot
34,us,u.s.,u.s,while,up
35,about,around,some,just,what
36,if,not,because,does,should
37,page,pages,web,article,read
38,my,your,i,me,you
39,has,recently,also,already,been
40,search,searching,searches,find,finding
41,free,allowed,only,allowing,without
42,but,though,even,although,however
43,our,we,their,need,own
44,one,another,only,same,three
45,other,such,many,both,those
46,do,n't,want,ca,know
47,no,any,there,without,not
48,information,provided,provide,data,knowledge
49,time,when,.,before,same
50,they,have,not,them,so
51,site,sites,web,location,website
52,he,him,but,when,having
53,up,down,out,while,just
54,may,might,likely,could,.
55,what,how,know,why,think
56,which,that,also,it,same
57,their,own,they,our,those
58,news,reported,interview,reports,newspapers
59,out,up,put,but,back
60,use,used,using,uses,instead
61,any,no,not,possible,without
62,there,but,no,.,only
63,see,come,look,seen,what
64,only,but,though,one,although
65,so,but,even,because,too
66,his,he,own,whose,him
67,when,then,again,before,after
68,contact,contacts,__________________________________,contacted,immediately
69,here,today,come,coming,this
70,business,businesses,industry,companies,commercial
71,who,whom,he,once,others
72,web,online,internet,website,websites
73,also,both,as,although,well
74,now,still,already,though,but
75,help,helping,helped,to,bring
76,get,got,getting,n't,sure
77,pm,12:30,11:30,1:30,2:30
78,view,views,viewed,indeed,perspective
79,online,internet,web,websites,website
80,c,b,f,h,spoolname
81,e,mail,mails,email,messages
82,first,second,third,came,one
83,am,'m,glad,sorry,happy
84,been,being,have,already,has
85,would,could,should,not,might
86,how,what,why,know,so
87,were,been,have,those,had
88,me,you,really,somebody,know
89,s,sunmicro,ivaxcp,genlelec,wrldcom
90,services,service,providing,provide,provider
91,some,many,few,those,have
92,these,those,such,are,many
93,click,clicking,clicks,clicked,lets
94,its,which,own,the,'s
95,like,even,such,come,well
96,service,services,provided,addition,.
97,x,spoolname,nytfileitnotes.ap.org,96,]
98,than,more,less,much,least
99,find,finding,come,able,looking
100,price,prices,cost,value,higher
101,date,dates,beginning,sometime,prior
102,back,again,then,out,come
103,top,one,leading,ranking,put
104,people,others,least,those,some
105,had,having,have,came,later
106,list,lists,listed,included,names
107,name,names,known,refer,referred
108,just,going,so,maybe,but
109,over,.,while,already,up
110,state,states,federal,.,government
111,year,last,month,months,years
112,day,days,week,last,month
113,into,then,through,turn,out
114,email,e-mail,emails,lat@ap.org,_____________________________________________
115,two,three,four,five,six
116,health,care,healthcare,medical,education
117,n,semiconhtr,},k,]
118,world,time,ever,.,first
119,re,already,supposed,preparing,likewise
120,next,coming,before,starting,come
121,used,use,using,uses,example
122,go,going,come,take,n't
123,b,c,j,p.jayawardene,h
124,work,working,works,done,well
125,last,month,week,ago,year
126,most,many,especially,particularly,more
127,products,product,manufactured,manufacturers,goods
128,music,musical,songs,recording,musicians
129,buy,sell,purchase,bought,buying
130,data,information,analysis,tracking,database
131,make,making,come,take,give
132,them,they,those,others,themselves
133,should,must,not,would,if
134,product,products,instance,example,same
135,system,systems,which,example,allows
136,post,posts,once,came,recently
137,her,she,mother,his,wife
138,city,cities,town,downtown,where
139,t,genlelec,shirts,spoolname,__________________________________
140,add,combine,adding,bring,extra
141,policy,policies,strategy,change,administration
142,number,numbers,many,only,these
143,such,other,these,include,like
144,please,ask,tell,call,let
145,available,addition,provided,provide,only
146,copyright,infringement,copyrights,copyrighted,trademarks
147,support,supported,supporting,backing,supports
148,message,messages,telling,explaining,calling
149,after,before,when,last,later
150,best,well,good,better,time
151,software,computer,microsoft,hardware,computers
152,then,when,again,before,later
